,Mean AAI,O2_ratio,divergence,AAI_round,log_O2_ratio
274,48.98,1.068085117411255,Same Class,49.0,0.02860586369351332
275,50.6,1.0443223057682425,Same Class,51.0,0.018834554235499085
276,50.2,1.034781597314357,Same Genus,50.0,0.014848696565675576
277,45.4,1.1300101227993211,Different Class,45.0,0.05308233397562792
278,48.71,18.560300003267237,Same Class,49.0,1.2685849917487122
279,49.1,1.0894540060258866,Same Class,49.0,0.037208900162083836
280,44.1,47.095709279437095,Different Class,44.0,1.6729813419240815
281,42.21,4.434899610902387,Different Class,42.0,0.6468837935195866
282,45.56,1.7362644980374704,Different Class,46.0,0.2396158851769945
283,43.16,42.479061625041844,Different Class,43.0,1.6281749144866071
284,96.64,1.0092498101168428,Same Genus,97.0,0.003998676372948824
285,44.01,64.963807765463,Different Class,44.0,1.8126714725610682
286,49.81,1.0469930377218712,Same Class,50.0,0.01994379372370749
287,43.72,1.7530512538849419,Different Class,44.0,0.2437946137287102
288,44.05,1.1294559753205933,Different Class,44.0,0.05286930736974285
289,47.8,1.0247530217876006,Same Class,48.0,0.010619207636253942
290,44.83,1.1632597727267036,Different Class,45.0,0.06567670979628043
291,43.98,5.959536790372933,Different Class,44.0,0.7752125051760048
292,50.29,1.0306081276658048,Same Class,50.0,0.013093563107096732
293,42.86,1001.4663271290552,Different Class,43.0,3.0006363513451286
294,48.58,16.47515381286577,Same Class,49.0,1.216829477880131
295,43.71,2.1476633593842287,Same Genus,44.0,0.3319662078377879
296,48.65,1.2591404665964738,Same Class,49.0,0.10007418162882642
297,42.41,35.16152863621,Different Class,42.0,1.5460677476258435
298,45.48,1.0617820433954246,Different Class,45.0,0.02603537638258849
299,44.33,680.1585160847952,Different Class,44.0,2.832610140115273
300,46.19,1.0194388604776514,Same Class,46.0,0.008361184647367391
301,44.79,1.2265490842738611,Different Class,45.0,0.08868493256910329
302,44.86,1.2453602455465078,Different Class,45.0,0.09529499803597606
303,44.35,1.1678706745228438,Different Class,44.0,0.06739475334936879
304,43.44,23.693785913098623,Same Genus,43.0,1.3746344600389873
305,48.93,16.100373442511025,Same Class,49.0,1.2068359494567522
306,42.25,2.498992474651814,Different Class,42.0,0.3977649483144803
307,44.4,1.0627476219366787,Different Class,44.0,0.026430141838705446
308,46.22,60.96457174956951,Different Class,46.0,1.7850775274122983
309,49.67,15.185105392600484,Same Class,50.0,1.1814178104963642
310,44.87,1.1862844418956913,Different Class,45.0,0.07418883467294911
311,42.63,10.981799496766982,Different Class,43.0,1.0406735101944635
312,43.65,2.4290722910192186,Different Class,44.0,0.3854404399280433
313,42.82,28.12554878651332,Different Class,43.0,1.4491010051684594
314,49.1,1.0058908035484546,Same Class,49.0,0.0025508375883703392
315,45.73,1.047088191398014,Different Class,46.0,0.019983261835961642
316,48.38,1.126196056124649,Same Class,48.0,0.051614002132763466
317,44.35,7.6736531904928835,Different Class,44.0,0.8850021674373918
318,38.94,1.5606358298828211,Different Class,39.0,0.19330157345082846
319,44.11,2.357699708277921,Different Class,44.0,0.37248848975705395
320,49.65,13.99607119930585,Same Class,50.0,1.1460061431125976
321,43.71,11.035670278491514,Different Class,44.0,1.042798716238928
322,44.67,1.9337745410086296,Different Class,45.0,0.2864058382559689
323,41.89,5.70824044838347,Different Class,42.0,0.7565022586273913
324,44.78,4.003260551824085,Different Class,45.0,0.602413857039152
325,43.59,2.2733386628705783,Different Class,44.0,0.35666413808310826
326,41.86,39.63245380984715,Different Class,42.0,1.5980509621420462
327,44.23,16.502049286919465,Different Class,44.0,1.2175378798949523
328,44.12,53.995878422365685,Different Class,44.0,1.7323606108093146
329,47.02,1.0700473224583458,Different Class,47.0,0.029402984627334088
330,48.78,1.0112233100425858,Same Class,49.0,0.004847072119270993
331,47.01,20.43211121075816,Different Class,47.0,1.3103132437646392
332,44.69,1.018622365208452,Different Class,45.0,0.008013207457658588
333,78.34,1.0863536319215177,Same Genus,78.0,0.03597122064190266
334,42.2,1.538612297410446,Different Class,42.0,0.18712919922882826
335,41.46,10.02682028935442,Different Class,41.0,1.0011632311535148
336,47.45,1.6613696049664697,Different Class,47.0,0.22046626071204556
337,50.13,32.62106395169171,Same Class,50.0,1.5134981216586822
338,43.29,1.4273264367953546,Different Class,43.0,0.154523309825195
339,43.91,1.8793220657014151,Different Class,44.0,0.274001212975001
340,48.4,125.81805166669191,Same Class,48.0,2.099742955710249
341,43.38,1.4045115336647294,Different Class,43.0,0.1475253099216349
342,44.04,1.12812590308812,Different Class,44.0,0.05235757124760693
343,49.51,16.93116251230218,Same Class,50.0,1.2286867782710749
344,49.66,43.31368547183825,Same Class,50.0,1.6366251385205512
345,45.26,2.1395089774561016,Different Class,45.0,0.3303141131389358
346,45.42,1.4499177477737235,Different Class,45.0,0.16134336588931775
347,48.83,6.3921477534798825,Same Class,49.0,0.8056468050699159
348,42.68,1.4230313004672124,Different Class,43.0,0.15321445276923873
349,44.65,1.4750619505449498,Different Class,45.0,0.16881026045983133
350,44.76,1.1611985671658107,Different Class,45.0,0.06490649127230766
351,45.01,1.1903873021305569,Different Class,45.0,0.07568828560432089
352,47.65,24.969678935822586,Same Class,48.0,1.397412958158435
353,43.78,1.1857754579155773,Different Class,44.0,0.07400245747619216
354,42.8,2.0854451870674557,Different Class,43.0,0.3191987795249442
355,58.07,1.7065660443541557,Same Family,58.0,0.2321231001995104
356,43.01,1.9005065402493708,Different Class,43.0,0.2788693684875703
357,53.55,1.5516860866840845,Same Order,54.0,0.19080386601356908
358,52.06,1.6327270912359828,Same Order,52.0,0.2129135988975944
359,41.87,2.1722873004618024,Different Class,42.0,0.33691726325280663
360,41.99,1.8407135403013613,Different Class,42.0,0.2649862070013825
361,42.92,1.6203206846518527,Different Class,43.0,0.2096009761425708
362,42.02,1.2585349696802477,Different Class,42.0,0.09986528736802748
363,42.21,1.9521490224137088,Different Class,42.0,0.2905129676040441
364,59.98,1.1644704836301092,Same Family,60.0,0.06612848474787425
365,55.09,1.2954330306386166,Same Order,55.0,0.1124149663948857
366,51.8,2.5978608946273494,Same Order,52.0,0.414615892574904
367,41.68,2.000709100638212,Different Class,42.0,0.3011839476208807
368,42.96,1.4945476855231148,Different Class,43.0,0.17450977633693815
369,43.79,2.2287892463807006,Different Class,44.0,0.34806900367034554
370,43.53,2.2932219265206872,Different Class,44.0,0.3604460856063081
371,41.91,1.9702982353111893,Different Class,42.0,0.29453196836813195
372,43.83,2.2847335934218065,Different Class,44.0,0.35883556735904
373,56.47,1.5663749566908096,Same Genus,56.0,0.19489573098489635
374,44.0,1.5309418884879895,Different Class,44.0,0.18495870605555828
375,43.39,2.2902323745422875,Different Class,43.0,0.3598795495283118
376,42.48,9.05705548914445,Different Class,42.0,0.9569870285085124
377,60.18,1.3936397767838171,Same Family,60.0,0.14415053332316818
378,43.79,2.3466644307747693,Different Class,44.0,0.37045099062871
379,57.53,1.7853556925455651,Same Family,58.0,0.2517247526167724
380,43.13,1.9800518874278692,Different Class,43.0,0.2966765711344315
381,43.79,1.9267723384558617,Different Class,44.0,0.28483040277514843
382,43.62,1.6058679298802738,Different Class,44.0,0.2057098250754435
383,41.54,1.9309471387715689,Different Class,42.0,0.2857703847819585
384,41.65,1.778666742262485,Different Class,42.0,0.2500945846469519
385,41.53,1.8953696719543016,Different Class,42.0,0.2776939271444057
386,42.7,1.8225776408643253,Different Class,43.0,0.2606860381042677
387,42.37,1.2325402623779056,Different Class,42.0,0.09080111492123813
388,42.05,2.08482528140292,Different Class,42.0,0.319069664824386
389,41.78,2.298115841408624,Different Class,42.0,0.3613719164395364
390,43.25,1.983620153359945,Different Class,43.0,0.2974585120250784
391,43.12,2.181799999493492,Different Class,43.0,0.33881493731679657
392,41.28,1.947805074104544,Different Class,41.0,0.2895454928523724
393,42.21,29.89658871525969,Same Genus,42.0,1.4756216369312027
394,42.13,17.18513255403207,Different Class,42.0,1.2351528863285053
395,44.14,2.215136339125959,Different Class,44.0,0.34540046171386896
396,44.0,2.128423382618179,Different Class,44.0,0.32805802138887485
397,42.19,1.943237199582015,Different Class,42.0,0.2885258156188956
398,42.27,2.3206613087296133,Different Class,42.0,0.3656117615317458
399,42.77,2.324512048515592,Different Class,43.0,0.3663318015796676
400,41.05,2.2779187546842383,Different Class,41.0,0.357538230269182
401,40.97,1.9486260169497835,Different Class,41.0,0.28972849670620154
402,42.78,1.040229083772766,Different Class,43.0,0.017128992051243224
403,59.91,2.2388920689078757,Same Family,60.0,0.3500331578900841
404,43.73,2.3537300012704785,Different Class,44.0,0.3717566430088852
405,40.5,1.648778532984169,Different Class,40.0,0.21716232431506086
406,59.58,1.6119539955746327,Same Family,60.0,0.20735264308124315
407,42.38,2.139103110521952,Different Class,42.0,0.33023171923792644
408,43.36,1.1283232982688354,Different Class,43.0,0.05243355579705405
409,62.72,1.1378062965613838,Same Family,63.0,0.05606833280167491
410,56.54,1.8018996351420358,Same Family,57.0,0.25573059734344383
411,41.59,1.6443469647120106,Different Class,42.0,0.21599346099060496
412,45.57,2.144340836278051,Different Class,46.0,0.3312938162587197
413,42.39,1.8566019871552235,Different Class,42.0,0.2687188109509071
414,41.39,1.002909234651378,Different Class,41.0,0.0012616302549683732
415,43.77,1.9632068584077011,Different Class,44.0,0.2929660625810834
416,42.68,1.7264752009181434,Different Class,43.0,0.23716034452633195
417,42.26,1.5725037114285354,Different Class,42.0,0.1965916791418094
418,42.85,1.910055638079906,Different Class,43.0,0.28104601801168383
419,41.87,2.2456188446546927,Different Class,42.0,0.3513360441290576
420,42.49,1.987812359831612,Different Class,42.0,0.2983753866328329
421,64.73,1.0917091954647733,Same Family,65.0,0.03810696838301678
422,43.67,2.2942860630428257,Different Class,44.0,0.3606475669460231
423,42.97,2.300612504862752,Different Class,43.0,0.3618434760474031
424,41.62,1.6920930032582508,Different Class,42.0,0.22842422967926265
425,60.65,1.1104322320762812,Same Family,61.0,0.04549205938753306
