,genus,date,cells_per_ml
198,GCA-2683775,20190402,1057.3419495885983
199,GCA-2684605,20190402,3314.0056600062553
200,GCA-2698665,20190402,2561.1491210582994
201,GCA-2705205,20190402,8189.391175500546
202,GCA-2705445,20190402,1043.1291073181617
203,GCA-2707915,20190402,1051.0557577560073
204,GCA-2717185,20190402,274.21031343905616
205,GCA-2721545,20190402,921.2099846802223
206,GCA-2722105,20190402,310.73484106569754
207,GCA-2726415,20190402,229.7918296959652
208,GCA-2746235,20190402,132.34801991543029
209,GCA-2862585,20190402,562.5407114504185
210,Glaciecola,20190402,1353.7149029912775
211,HC6-5,20190402,49604.44786999319
212,HIMB114,20190402,303.42351840575594
213,HIMB59,20190402,3859.60910681971
214,HTCC2207,20190402,44609.14370240034
215,Hel1-33-131,20190402,29487.6246853842
216,Hellea,20190402,1313.3982233449985
217,IMCC9063,20190402,16373.979562680232
218,LFER01,20190402,2470.396123393382
219,Litoricola,20190402,3728.625712034747
220,Luminiphilus,20190402,3741.9759801075184
221,MAG-120531,20190402,32192.553572105087
222,MAG-121220-bin8,20190402,44412.10361686161
223,MB11C04,20190402,1613.425726890117
224,MED-G09,20190402,6229.383272879099
225,MED-G11,20190402,3611.254836617962
226,MED-G116,20190402,294.7510767203512
227,MED-G20,20190402,1440.6235541589133
228,MED-G52,20190402,705.9491482265155
229,MED-G78,20190402,5747.348580551442
230,MED-G85,20190402,14.68261423724812
231,MGIIa-K1,20190402,744.4100492741043
232,MGIIa-L1,20190402,4810.134509593444
233,MGIIb-O2,20190402,1342.319066463396
234,MGIIb-O3,20190402,3072.0466512354633
235,MS024-2A,20190402,26010.320647886747
236,Mariniblastus,20190402,313.4228098969149
237,Marinisoma,20190402,735.2816696357656
239,Nitrosopelagicus,20190402,327.3337002760805
240,Nitrosopumilus,20190402,3011.1735847555847
241,Nitrospinaceae,20190402,608.7127976200459
242,OM182,20190402,7964.341092394254
243,Oceanihabitans,20190402,498.8533690266781
244,Octadecabacter,20190402,24119.22642348852
245,Opitutaceae,20190402,54.423144334257536
246,Pelagibacter,20190402,269632.778811633
247,Pelagibacter_A,20190402,27029.65872093723
248,Pelagibacteraceae,20190402,734.2615437706381
249,Pirellulaceae,20190402,75.52947145507152
250,Planctomicrobium,20190402,42.16103173524989
251,Planctomycetaceae,20190402,101.2147095272548
252,Planktomarina,20190402,41688.61963424385
253,Polaribacter,20190402,82706.0907623683
254,Pontimonas,20190402,1102.3829467718099
255,Porticoccus,20190402,7791.371327997236
256,Poseidonia,20190402,1207.093671976516
257,Pseudohongiellaceae,20190402,1082.999292372172
258,Psychromonas,20190402,
259,Puniceispirillaceae,20190402,409.848316162189
260,Puniceispirillum,20190402,6262.940593272476
261,Rubripirellula,20190402,209.20459538527328
262,SAR86,20190402,954.88225899291
263,SAR86A,20190402,71.88706949429644
264,SCGC-AAA076-P13,20190402,33713.4668919339
265,SCGC-AAA160-P02,20190402,39072.67462714976
266,SGZJ01,20190402,9034.019730584792
267,SHAN690,20190402,7418.0520400730575
268,SHLJ01,20190402,591.7325660196739
269,SP4260,20190402,715.3048200789123
270,SW10,20190402,1717.3947016947545
271,SYDM01,20190402,16958.863974186792
272,Saprospiraceae,20190402,588.488324941906
273,Sulfitobacter,20190402,2757.6967546478472
274,Sulfurimonas,20190402,
275,Synechococcus_C,20190402,1653.6466802622754
276,Synechococcus_E,20190402,755.2136468713385
277,TMED14,20190402,755.0372729471718
278,TMED170,20190402,4370.668483392993
279,TMED189,20190402,5246.511185331538
280,TMED25,20190402,4197.939160730877
281,TMED80,20190402,1090.4679172046308
282,Tateyamaria,20190402,915.6980054583444
283,Thioglobaceae,20190402,291.8097945908158
284,Thioglobus,20190402,39268.095004339884
285,Thioglobus_A,20190402,4256.8791032043455
286,UA16,20190402,3154.9853964573
287,UBA10066,20190402,1587.9562070564014
288,UBA10347,20190402,2066.3902120918838
289,UBA10364,20190402,21167.148599358607
290,UBA1096,20190402,7.304648696010858
291,UBA11654,20190402,372.8661862158567
292,UBA12202,20190402,259.1058211875901
293,UBA1268,20190402,910.3984443840719
